englishVoc;germanVoc;lenEnglish;lenGerman;moreWords;1stLetter;lastLetter;control;type;irrVerbsInfinitive;irrVerbsSimplePast;irrVerbsPastParticiple
school yard;Schulhof;11;8;7;7;10;yard;n;;;
wait (for);warten (auf);10;12;5;5;9;(for);v;;;
surprised;überrascht;9;10;0;0;8;surprised;a;;;
sad;traurig;3;7;0;0;2;sad;a;;;
just like Berry;genau wie Berry;15;15;5;5;14;like Berry;r;;;
eye;Auge;3;4;0;0;2;eye;n;;;
What's the matter?;Was ist denn?/Was ist los?;18;26;7;7;17;the matter?;s;;;
die;sterben;3;7;0;0;2;die;v;;;
that's why;deshalb, darum;10;14;7;7;9;why;r;;;
cry;weinen;3;6;0;0;2;cry;v;;;
unfriendly;unfreundlich;10;12;0;0;9;unfriendly;a;;;
collect;sammeln;7;7;0;0;6;collect;v;;;
opposite;Gegenteil;8;9;0;0;7;opposite;n;;;
tip;Tipp;3;4;0;0;2;tip;n;;;
ice cream;(Speise-)Eis;9;12;4;4;8;cream;n;;;
strange;seltsam, sonderbar;7;18;0;0;6;strange;a;;;
wear;tragen, anhaben (Kleidung);4;26;0;0;3;wear;v;wear;wore;worn
mustn't do;nicht tun dürfen;10;16;8;8;9;do;r;;;
scarf;Schal;5;5;0;0;4;scarf;n;;;
Oh dear.;Oje!;8;4;3;3;7;dear.;r;;;
angry;wütend;5;6;0;0;4;angry;a;;;
shy;schüchtern, scheu;3;17;0;0;2;shy;a;;;
neighbour;Nachbar/in;9;10;0;0;8;neighbour;n;;;
post office;Postamt;11;7;5;5;10;office;n;;;
garage;(Auto-)Werkstatt;6;16;0;0;5;garage;n;;;
electronics;Elektronik;11;10;0;0;10;electronics;n;;;
lane;Gasse, Weg;4;10;0;0;3;lane;n;;;
cake;Kuchen;4;6;0;0;3;cake;n;;;
car park;Parkplatz;8;9;4;4;7;park;n;;;
hair;Haar, Haare;4;11;0;0;3;hair;n;;;
woman;Frau;5;4;0;0;4;woman;n;;;
newsagent;Zeitungshändler/in;9;18;0;0;8;newsagent;n;;;
letter box;Briefkasten;10;11;7;7;9;box;n;;;
hairdresser;Friseur/in;11;10;0;0;10;hairdresser;n;;;
Who did Adem meet?;Wen hat Adam getroffen?/ Wen traf Adam?;18;39;4;4;17;did Adem meet?;s;;;
map;Stadtplan, Landkarte;3;20;0;0;2;map;n;;;
Did they go?;Sind sie gegangen?/Gingen Sie?;12;30;4;4;11;they go?;s;;;
bus stop;Bushaltestelle;8;14;4;4;7;stop;n;;;
traffic lights;Verkehrsampel;14;13;8;8;13;lights;n;;;
flower;Blume, Blüte;6;12;0;0;5;flower;n;;;
neghbourhood;Nachbarschaft, Viertel, Gegend;12;30;0;0;11;neghbourhood;n;;;
we don't have any...;wir haben kein/e...;20;19;3;3;19;don't have any...;r;;;
(Great) Britain;Großbritannien;15;14;8;8;14;Britain;n;;;
popular;beliebt, populär;7;16;0;0;6;popular;a;;;
more popular;beliebter;12;9;5;5;11;popular;a;;;
milk;Milch;4;5;0;0;3;milk;n;;;
bread;Brot;5;4;0;0;4;bread;n;;;
sausage;Wurst, Würstchen;7;16;0;0;6;sausage;n;;;
Would you like some tea/chips?;Möchtset du (etwas) Tee/ (ein paar) Pommes frites?;30;50;6;6;29;you like some tea/chips?;s;;;
I'll have...;Ich nehme ... (beim Essen im Restaurant);12;40;5;5;11;have...;r;;;
collar;Halsband;6;8;0;0;5;collar;n;;;
Good boy./Good dog.;Braver Junge. / Braver Hund.;19;28;5;5;18;boy./Good dog.;r;;;
suddenly;plötzlich, auf einmal;8;21;0;0;7;suddenly;z;;;
firework;Feuerwerkskörper;8;16;0;0;7;firework;n;;;
fireworks;Feuerwerk;9;9;0;0;8;fireworks;n;;;
run;rennen, laufen;3;14;0;0;2;run;v;run;ran;run
be scared (of);Angst haben (vor);14;17;3;3;13;scared (of);v;;;
We'll find him.;Wir werden ihn finden.;15;22;6;6;14;find him.;s;;;
hour;Stunde;4;6;0;0;3;hour;n;;;
half an hour;eine halbe Stunde;12;17;5;5;11;an hour;n;;;
put;(etwas wohin) tun, legen, stellen;3;33;0;0;2;put;v;put;put;put
bring;bringen;5;7;0;0;4;bring;v;bring;brought;brought
fall;fallen, hinfallen;4;17;0;0;3;fall;v;fall;fell;fallen
feed;füttern;4;7;0;0;3;feed;v;feed;fed;fed
know;wissen, kennen;4;14;0;0;3;know;v;know;knew;knewn
ride;reiten, (Rad) fahren;4;20;0;0;3;ride;v;ride;rode;ridden
ring;läuten, klingeln;4;16;0;0;3;ring;v;ring;rang;rung
send;schicken, senden;4;16;0;0;3;send;v;send;sent;sent
sing;singen;4;6;0;0;3;sing;v;sing;sang;sung
the dogs' home;das Hundeheim;14;13;4;4;13;dogs' home;n;;;
owner;Eigentümer/in, Besitzer/in;5;26;0;0;4;owner;n;;;
tail;Schwanz;4;7;0;0;3;tail;n;;;
this morning;heute Morgen;12;12;5;5;11;morning;r;;;
this afternoon;heute Nachmittag;14;16;5;5;13;afternoon;r;;;
this evening;heute Abend;12;11;5;5;11;evening;r;;;
I see.;Ach so./Aha./Verstehe.;6;22;2;2;5;see.;r;;;
tell (about);erzählen (von), berichten (über);12;32;5;5;11;(about);v;tell;told;told
they think that...;sie glauben, dass;18;17;5;5;17;think that...;r;;;
open;offen, geöffnet;4;15;0;0;3;open;a;;;
take;nehmen;4;6;0;0;3;take;v;take;took;taken
ear;Ohr;3;3;0;0;2;ear;n;;;
adopt;adoptieren, (ein Tier) bei sich aufnehmen;5;41;0;0;4;adopt;v;;;
go out;rausgehen, weggehen, ausgehen;6;29;3;3;5;out;v;;;
check;(über)prüfen, kontrollieren;5;27;0;0;4;check;v;;;
check the internet;im Internet nachschauen;18;23;6;6;17;the internet;v;;;
go for a walk;einen Spaziergang machen, spazieren gehen;13;41;3;3;12;for a walk;v;;;
budgie;Wellensittich;6;13;0;0;5;budgie;n;;;
bonfire;(großes Freuden-)Feuer;7;22;0;0;6;bonfire;n;;;
celebrate;feiern;9;6;0;0;8;celebrate;v;;;
costume;Kostüm, Verkleidung;7;19;0;0;6;costume;n;;;
potato, potatoes;Kartoffel;16;9;8;8;15;potatoes;n;;;
clothes;Kleidung, Verkleidung;7;21;0;0;6;clothes;n;;;
biscuit;Keks, Plätzchen;7;15;0;0;6;biscuit;n;;;
cocoa;Kakao;5;5;0;0;4;cocoa;n;;;
New Year;Neujahr;8;7;4;4;7;Year;n;;;
chocolate;Schokolade;9;10;0;0;8;chocolate;n;;;
witch;Hexe;5;4;0;0;4;witch;n;;;
mystery;Geheimnis;7;9;0;0;6;mystery;n;;;
Wo did Mia talk to?;Mit wem hat Mia gesprochen?/Mit wem sprach Mia?;19;47;3;3;18;did Mia talk to?;s;;;
someone;jemand;7;6;0;0;6;someone;z;;;
somebody;jemand;8;6;0;0;7;somebody;z;;;
jacket;Jacke, Jackett;6;14;0;0;5;jacket;n;;;
hat;Hut;3;3;0;0;2;hat;n;;;
mask;Maske;4;5;0;0;3;mask;n;;;
toy;Spielzeug;3;9;0;0;2;toy;n;;;
audience;Publikum, Zuschauer/innen, Zuhörer/innen;8;40;0;0;7;audience;n;;;
pick;(aus)wählen, aussuchen;4;22;0;0;3;pick;v;;;
actor;Schauspieler/in;5;15;0;0;4;actor;n;;;
point (to sb./sth.);(auf jn./etwas) zeigen, deuten;19;30;6;6;18;(to sb./sth.);v;;;
look up;auschauen, hochsehen;7;20;5;5;6;up;v;;;
nearly;fast, beinahe;6;13;0;0;5;nearly;z;;;
silly;albern, blöd;5;12;0;0;4;silly;a;;;
whisper;flüstern;7;8;0;0;6;whisper;v;;;
if you don't have a pound;wenn/falls du kein Pfund hast;25;29;3;3;24;you don't have a pound;r;;;
How many ...?;Wie viele ...?;13;14;4;4;12;many ...?;r;;;
do better;besser abschneiden;9;18;3;3;8;better;r;;;
penfriend;Brieffreund/in;9;14;0;0;8;penfriend;n;;;
at least;mindestens, wenigstens;8;22;3;3;7;least;z;;;
directions;Wegbeschreibung(en);10;19;0;0;9;directions;n;;;
tell sb. the way;jm. den Weg beschreiben;16;23;5;5;15;sb. the way;r;;;
ask sb. the way;jn. nach dem Weg fragen;15;23;4;4;14;sb. the way;r;;;
cross;überqueren;5;10;0;0;4;cross;v;;;
turn right/left;(nach) rechts/links abbiegen;15;28;5;5;14;right/left;r;;;
along the street;die Straße entlang;16;18;6;6;15;the street;r;;;
metre;Meter;5;5;0;0;4;metre;n;;;
past the shop;am Laden vorbei;13;15;5;5;12;the shop;r;;;
bank;Bank;4;4;0;0;3;bank;n;;;
toilet roll;Rolle Toilettenpapier;11;21;7;7;10;roll;n;;;
scary;unheimlich, gruselig;5;20;0;0;4;scary;a;;;
scare sb.;jn. Erschrecken, jm. Angst machen;9;33;6;6;8;sb.;v;;;
teen talk;Teenagergespräche;9;17;5;5;8;talk;n;;;
perfect;perfekt, ideal;7;14;0;0;6;perfect;a;;;
chill;relaxen, sich ausruhen;5;22;0;0;4;chill;v;;;
stuff;Zeug, Kram;5;10;0;0;4;stuff;n;;;
ski;Skilaufen, Ski fahren;3;21;0;0;2;ski;v;;;
do chores;(Haus-)Arbeiten erledigen;9;25;3;3;8;chores;r;;;
exciting;aufregend, spannend;8;19;0;0;7;exciting;a;;;
also;auch;4;4;0;0;3;also;z;;;
survey;Umfrage;6;7;0;0;5;survey;n;;;
How much ...?;Wie viel...?;13;12;4;4;12;much ...?;r;;;
much;viel;4;4;0;0;3;much;z;;;
nobody;niemand;6;7;0;0;5;nobody;z;;;
magazine;Zeitschrft, Magazin;8;19;0;0;7;magazine;n;;;
pocket;Tasche;6;6;0;0;5;pocket;n;;;
pocket money;Taschengeld;12;11;7;7;11;money;n;;;
mean;geizig;4;6;0;0;3;mean;a;;;
older than me;älter als ich;13;13;6;6;12;than me;r;;;
What shoud I do?;Was sollte ich tun?;16;19;5;5;15;shoud I do?;s;;;
to;um zu;2;5;0;0;1;to;z;;;
until;bis (zeitlich);5;14;0;0;4;until;z;;;
you could ...;du könntest....;13;15;4;4;12;could ...;r;;;
a little time;ein bisschen Zeit;13;17;2;2;12;little time;r;;;
What do you need money for?;Wofür brauchst Du Geld?;27;23;5;5;26;do you need money for?;s;;;
hoover;staubsaugen;6;11;0;0;5;hoover;v;;;
fill;füllen;4;6;0;0;3;fill;v;;;
dishwasher;Geschirrspüler;10;14;0;0;9;dishwasher;n;;;
empty;leeren;5;6;0;0;4;empty;a;;;
cut;schneiden, (Rasen) mähen;3;24;0;0;2;cut;v;cut;cut;cut
grass;Gras, Rasen;5;11;0;0;4;grass;n;;;
hear;hören;4;5;0;0;3;hear;v;hear;heard;heard
hide;(sich) verstecken;4;17;0;0;3;hide;v;hide;hid;hidden
set the table;den Tisch decken;13;16;4;4;12;the table;r;;;
shut up;den Mund halten;7;15;5;5;6;up;r;;;
sleep;schlafen;5;8;0;0;4;sleep;v;sleep;slept;slept
speek;sprechen;5;8;0;0;4;speek;v;speek;spoke;spoken
swim;schwimmen;4;9;0;0;3;swim;v;swim;swam;swum
wake;wecken;4;6;0;0;3;wake;v;wake;woke;woken
tidy;aufräumen;4;9;0;0;3;tidy;v;;;
10 pounds a week;10 Pfund pro Woche;16;18;3;3;15;pounds a week;r;;;
do a paper round;Zeitungen austragen;16;19;3;3;15;a paper round;r;;;
I'm going to do some chores;Ich werde ein paar Hausarbeiten erledigen.;27;42;4;4;26;going to do some chores;s;;;
ask for sth.;um etwas bitten;12;15;4;4;11;for sth.;r;;;
Go for it!;Nichts wie ran!;10;15;3;3;9;for it!;r;;;
for example;zum Beispiel;11;12;4;4;10;example;r;;;
arrangement;Vereinbarung;11;12;0;0;10;arrangement;n;;;
plan;Plan;4;4;0;0;3;plan;n;;;
ice skating;Schlittschuhlaufen;11;18;4;4;10;skating;v;;;
it doesn't matter;Es/Das ist egal.;17;16;3;3;16;doesn't matter;r;;;
cheap;billig, preiswert;5;17;0;0;4;cheap;a;;;
still;immer noch, noch immer;5;22;0;0;4;still;z;;;
next time;nächstes Mal;9;12;5;5;8;time;r;;;
everybody else;alle anderen, jede/r andere;14;27;10;10;13;else;r;;;
glove;Handschuh;5;9;0;0;4;glove;n;;;
glasses;Brille;7;6;0;0;6;glasses;n;;;
sunglasses;Sonnenbrille;10;12;0;0;9;sunglasses;n;;;
match;Spiel, Wettkampf;5;16;0;0;4;match;n;;;
activity;Aktivität;8;9;0;0;7;activity;n;;;
adult;Erwachsener;5;11;0;0;4;adult;n;;;
free;kostenlos;4;9;0;0;3;free;a;;;
the most sports;die meisten Sportarten;15;22;4;4;14;most sports;r;;;
careful;vorsichtig;7;10;0;0;6;careful;a;;;
ice hockey;Eishockey;10;9;4;4;9;hockey;n;;;
earth;Erde;5;4;0;0;4;earth;n;;;
circus;Zirkus;6;6;0;0;5;circus;n;;;
shark;Hai;5;3;0;0;4;shark;n;;;
attack;Angriff;6;7;0;0;5;attack;n;;;
grow;wachsen;4;7;0;0;3;grow;v;grow;grew;grown
part;Teil;4;4;0;0;3;part;n;;;
It's a deal!;Abgemacht!;12;10;5;5;11;a deal!;r;;;
